,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity
,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME
2010-01-04,7.649278065000002,7.660706625,7.586420985,7.626778087500001,152539868.53986853,7.63999236,7.94427777,7.56570672,7.887134970000001,6048363.048363048,9.7,9.9,9.68,9.82,2615500.0,118.8106236,120.27172512,116.5036212,116.96502168,1736937.5,79.71113530710718,80.08523088797088,78.8478378128064,79.20274900490783,1035600.0
2010-01-05,7.656420915000001,7.6996351575,7.6164209550000015,7.671063757500002,170462798.46279845,7.35856407,7.65284949,7.25856417,7.65284949,6669431.669431669,9.71,9.9,9.68,9.69,2446800.0,119.42582424,120.42552528,118.8106236,118.8106236,1476875.0,79.13560364423999,79.83583383406176,78.68477050832736,79.71113530710718,1034400.0
2010-01-06,7.534635322500002,7.685706599999999,7.5267781875000015,7.655706630000001,187947527.947528,7.61713524,7.672849470000001,7.2071356500000014,7.36142121,8566972.566972567,9.57,9.76,9.55,9.66,2824200.0,118.8106236,120.11792496,118.73372352,119.5796244,1468250.0,80.08523088797088,80.44973427445345,78.49292662070495,79.03968170042882,1333600.0
2010-01-07,7.520706765000001,7.571421000000001,7.466421105000001,7.559992440000001,145616609.6166096,7.4857068,7.75570653,7.46427825,7.73142084,3486325.486325486,9.47,9.55,9.18,9.44,3698500.0,124.96263,126.73133184,118.65682344,119.11822392,4445462.5,79.49051483634146,80.20992941492544,79.01090511728545,79.45214605881696,1112200.0
2010-01-08,7.570706715,7.571421000000001,7.466421105000001,7.517492482500002,141074585.07458505,7.6142781,7.742849400000001,7.46570682,7.498563930000001,3172942.1729421723,9.43,9.47,9.29,9.37,1831500.0,127.6541328,128.26933344,125.19333024,125.80853088,2963337.5,80.30585135873666,80.36340452502337,78.21475298365247,79.06845828357217,1201000.0
2010-01-11,7.503921067500001,7.607135250000002,7.4446354125,7.599992400000001,161592333.5923336,7.60427811,7.682849460000001,7.529992470000002,7.65999234,2350847.3508473504,9.14,9.43,9.08,9.4,2848100.0,128.88453408,129.80733504,127.2696324,129.65353488,1893312.5,79.57684458577151,81.36099274065985,78.96294414537981,80.90056741036608,1041800.0
2010-01-12,7.418564010000001,7.491778222500002,7.372135485,7.47570681,191069727.06972703,7.48142109,7.571421000000001,7.45142112,7.528563900000001,2647374.6473746467,8.65,8.9,8.53,8.87,5402300.0,128.96143415999998,129.26903448,127.50033263999998,127.57723272,1729112.5,76.8910301590579,78.81906122966303,76.65122529952994,78.61762514765951,1929800.0
2010-01-13,7.523206762500001,7.533206752500001,7.289278425,7.432849710000001,192572600.57260048,7.708563720000001,7.75427796,7.55856387,7.625706660000001,5612192.612192612,9.15,9.19,8.56,8.73,4394200.0,129.42283464,130.11493536,127.42343256,128.807634,1929787.5,76.38264385685855,77.4090086556384,75.40424002998431,77.4090086556384,1826600.0
2010-01-14,7.479635377500001,7.5160639125,7.464992535000001,7.50142107,142674198.67419866,7.28427843,7.57570671,7.26999273,7.512849630000002,6530845.53084553,9.0,9.26,8.92,9.19,2739100.0,128.4231336,129.73043496,128.26933344,129.26903448,1469862.5,76.977359908488,77.15001940734817,75.90303413780256,76.05650924790048,1329500.0
2010-01-15,7.354635502500001,7.555706730000002,7.35284979,7.54999245,239122087.12208712,7.278564150000001,7.407135450000001,7.23570705,7.24570704,5901131.901131901,8.84,9.16,8.8,9.09,6086300.0,126.42373152,128.807634,125.80853088,128.4231336,3287750.0,75.70159805579904,76.977359908488,75.1548429760752,76.86225357591455,2779700.0
2010-01-19,7.67999232,7.685349457500001,7.409278305000001,7.4424925575,205163345.1633452,7.314278400000001,7.382849760000001,7.24999275,7.24999275,2327761.3277613274,9.01,9.21,8.87,8.88,2878700.0,127.19273232,128.73073391999998,125.65473072,125.7316308,1601200.0,76.12365460856832,76.19079996923617,75.05892103226401,75.56730733446335,1409900.0
2010-01-20,7.5649924350000015,7.698206587500001,7.482135375,7.6764208950000015,193528269.5282695,7.30999269,7.492849650000001,7.22142135,7.265707020000002,3443107.443107443,8.87,9.0,8.76,8.99,3488700.0,126.885132,128.26933344,125.57783064,127.11583224,1516725.0,75.02055225473951,75.2603571142675,73.68723723576385,75.09728980978848,1265600.0
2010-01-21,7.43856399,7.61713524,7.400349742500001,7.584992415,185263109.26310924,7.31284983,7.4542782600000015,7.214278500000002,7.214278500000002,3511462.511462511,8.99,9.1,8.78,9.05,5006600.0,123.19392816,126.73133184,122.6556276,126.65443175999998,2576412.5,72.91026949089313,75.30831808617313,72.8047553527008,74.92463031092832,1866400.0
2010-01-22,7.0567786575000016,7.410706875000002,7.04142153,7.384992615000002,291297479.2974793,7.26999273,7.484278230000001,7.214278500000002,7.29713556,3712831.712831712,7.88,8.46,7.83,8.41,9487900.0,123.88602888,128.88453408,123.73222872,126.885132,4007575.0,72.9965992403232,74.96299908845279,72.64168804822177,73.02537582346656,2812000.0
